Sample No.;Reference;V (PbBr2 prec.);c (PbBr2);c (OlAm);c (OA);V (Cs-OA);c (Cs-OA);Cs/Pb;antisolvent;V (antisolvent);Cp;RP (antisolvent);perovskite ?;n (ML);NC shape;monodispersity;PLQY;suggestion;include PLQY;S/P;Age of prec
50;230904;1500;0.01;0.02128;0.02835;150;0.02;0.2;EtOH;4000;;0.654;1;7;NPL;0;0;;;P;-
51;230117;1500;0.01;0.02128;0.02835;150;0.02;0.2;MeOH;250;;0.762;1;3;?;1;0;;;P;-
52;230117;1500;0.01;0.02128;0.02835;150;0.02;0.2;MeOH;500;;0.762;1;3;NPL;1;0;;;P;-
53;230117;1500;0.01;0.02128;0.02835;150;0.02;0.2;MeOH;750;;0.762;1;4;NPL;1;0;;;P;-
54;230117;1500;0.01;0.02128;0.02835;150;0.02;0.2;MeOH;1000;;0.762;1;5;NPL;1;0;;;P;-
55;230117;1500;0.01;0.02128;0.02835;150;0.02;0.2;MeOH;1250;;0.762;1;6;?;1;0;;;P;-
56;230117;1500;0.01;0.02128;0.02835;150;0.02;0.2;MeOH;1500;;0.762;1;8;?;1;0;;;P;-
57;230117;1500;0.01;0.02128;0.02835;150;0.02;0.2;MeOH;1750;;0.762;1;7;?;0;0;;;P;-
58;230117;1500;0.01;0.02128;0.02835;150;0.02;0.2;MeOH;2000;;0.762;1;-;NC;1;0;;;P;-
59;230818;1200;0.01;0.02128;0.02835;300;0.02;0.5;MeOH;2000;;0.762;1;12;NC;1;0;;;P;-
60;230818;1125;0.01;0.02128;0.02835;375;0.02;0.67;MeOH;2000;;0.762;1;12;NC;1;0;;;P;-
61;230818;1000;0.01;0.02128;0.02835;500;0.02;1;EtOH;2000;;0.654;1;12;NC;1;0;;;P;-
62;230818;1000;0.01;0.02128;0.02835;500;0.02;1;MeOH;2000;;0.762;1;12;NC;1;0;;;P;-
63;230906;1610;0.01;0.02128;0.02835;40;0.02;0.05;EtOH;2000;;0.654;1;3;NPL;1;0;;;P;-
64;230906;1570;0.01;0.02128;0.02835;80;0.02;0.1;EtOH;2000;;0.654;1;3;NPL;1;0;;;P;-
65;230906;1535;0.01;0.02128;0.02835;115;0.02;0.15;EtOH;2000;;0.654;1;3;NPL;1;0;;;P;-
