Sample No.;Reference;V (PbBr2 prec.);c (PbBr2);c (OlAm);c (OA);V (Cs-OA);c (Cs-OA);Cs/Pb;antisolvent;V (antisolvent);Cp;RP (antisolvent);perovskite ?;n (ML);NC shape;monodispersity;PLQY;suggestion;include PLQY;S/P;Age of prec
j49;jp73;2916;0.003998628;0.00871701;0.011356104;364;0.02;0.624356775;n-BuOH;3310;;;;;;1;0.207;;1;P;-
j50;jp74;1500;0.01;0.0218;0.0284;100;0.02;0.133333333;n-BuOH;330;;;;;;1;0.0967;;1;P;-
j51;jp75;2150;0.01;0.0218;0.0284;40;0.02;0.037209302;EtOH;3940;;;;;;1;0.356;;1;P;-
j52;jp76;2387;0.037012987;0.080688312;0.105116883;68;0.02;0.015393322;n-BuOH;4435;;;;;;0;0.2;;0;P;-
j53;jp77;150;0.05;0.109;0.142;100;0.02;0.266666667;n-BuOH;3300;;;;;;1;0.257;;1;P;-
j54;jp78;675;0.023703704;0.051674074;0.067318519;169;0.02;0.21125;EtOH;4435;;;;;;1;0.3437;;1;P;-
j55;jp79;150;0.025;0.0545;0.071;25;0.02;0.133333333;n-BuOH;1650;;;;;;0;0.2547;;0;P;-
j56;jp80;300;0.05;0.109;0.142;50;0.02;0.066666667;n-BuOH;3300;;;;;;1;0.1423;;1;P;-
j57;jp81;300;0.05;0.109;0.142;50;0.02;0.066666667;n-BuOH;3300;;;;;;1;0.977;;1;P;0
j58;jp82;800;0.01875;0.040875;0.05325;50;0.02;0.066666667;n-BuOH;3300;;;;;;1;0.9416;;1;P;0
j59;jp83;300;0.05;0.109;0.142;200;0.02;0.266666667;n-BuOH;3300;;;;;;0;0;;0;P;0
j60;jp84;300;0.05;0.109;0.142;50;0.02;0.066666667;n-BuOH;3300;;;;;;1;0.35;;1;P;2
j61;jp85;300;0.05;0.109;0.142;100;0.02;0.133333333;n-BuOH;3300;;;;;;1;0.53;;1;P;2
j62;jp86;300;0.05;0.109;0.142;50;0.02;0.066666667;n-BuOH;3300;;;;;;1;0.37;;1;P;2
j63;jp87;300;0.05;0.109;0.142;25;0.02;0.033333333;n-BuOH;3300;;;;;;1;0.75;;1;P;2
j64;jp88;300;0.05;0.109;0.142;100;0.02;0.133333333;n-BuOH;3300;;;;;;1;0.346;;1;P;2
j65;jp89;300;0.05;0.109;0.142;50;0.02;0.066666667;n-BuOH;3300;;;;;;1;0.8;;1;P;0
j66;jp90;300;0.05;0.109;0.142;25;0.02;0.033333333;n-BuOH;3300;;;;;;1;0.92;;1;P;0
j67;jp91;300;0.05;0.109;0.142;50;0.02;0.066666667;EtOH;1500;;;;;;1;0.9;;1;P;0
j69;jp93;100;0.05;0.109;0.142;20;0.02;0.08;n-BuOH;5000;;;;;;1;0.5138;;1;P;2
j70;jp94;3000;0.01;0.0218;0.0284;75;0.02;0.05;Ac;2000;;;;;;1;0.1085;;1;P;2
j71;jp95;700;0.05;0.109;0.142;50;0.02;0.028571429;EtOH;2000;;;;;;1;0.5763;;1;P;2
j72;jp96;477;0.05;0.109;0.142;50;0.02;0.041928721;EtOH;3734;;;;;;1;0.5101;L-SYNTH 2.0-4763;1;P;2
j73;jp97;3000;0.01;0.0218;0.0284;40;0.02;0.026666667;Ac;2000;;;;;;1;0.33;;1;P;0
j74;jp98;700;0.05;0.109;0.142;50;0.02;0.028571429;EtOH;2000;;;;;;1;0.9;;1;P;0
j75;jp99;477;0.05;0.109;0.142;50;0.02;0.041928721;EtOH;3734;;;;;;0;0;L-SYNTH 2.0-4763;0;P;0
j100;jp100;216;0.05;0.109;0.142;354;0.02;0.655555556;CyPol;933;;;;;;0;0.539;L-SYNTH 2.0-330;1;P;4
j101;jp101;268;0.05;0.109;0.142;110;0.02;0.164179104;CyPol;4366;;;;;;0;0.459;L-SYNTH 2.0-9452;1;P;4
j101s;jp101s;268;0.05;0.109;0.142;110;0.02;0.164179104;CyPol;4366;;;;;;1;0;L-SYNTH 2.0-9453;0;S ;4
j102;jp102;187;0.05;0.109;0.142;73;0.02;0.156149733;CyPol;4241;;;;;;1;0.454;L-SYNTH 2.0-3709;1;P;4
j102s;jp102s;187;0.05;0.109;0.142;73;0.02;0.156149733;CyPol;4241;;;;;;1;0;L-SYNTH 2.0-3710;0;S ;4
j106;jp106p;800;0.025;0.0545;0.071;50;0.02;0.05;CyPen;1500;;;;;;0;0.228;;1;P;0
j106s;jp106s;800;0.025;0.0545;0.071;50;0.02;0.05;CyPen;1500;;;;;;0;0.136;;1;S ;0
j107;jp107p;400;0.05;0.109;0.142;75;0.02;0.075;CyPen;1000;;;;;;0;0.1387;;0;P;0
j107s;jp107s;400;0.05;0.109;0.142;75;0.02;0.075;CyPen;1000;;;;;;0;0.06;;1;S ;0
j108;jp108;600;0.05;0.109;0.142;100;0.02;0.066666667;n-BuOH;6600;;;;;;1;0.335;;1;P;1
j109;jp109p;1000;0.02;0.0436;0.0568;100;0.02;0.1;CyPen;2450;;;;;;1;0.24;;1;P;0
j109s;jp109s;1000;0.02;0.0436;0.0568;100;0.02;0.1;CyPen;2450;;;;;;1;0.27;;1;S ;0
j110;jp110p;1000;0.02;0.0436;0.0568;80;0.02;0.08;CyPen;2000;;;;;;0;0.1965;;1;P;0
j110s;jp110s;1000;0.02;0.0436;0.0568;80;0.02;0.08;CyPen;2000;;;;;;1;0.201;;1;S ;0
j111;jp111;750;0.02;0.0436;0.0568;50;0.02;0.066666667;n-BuOH;3300;;;;;;1;0.37;;1;P;0
j112;jp112;1500;0.02;0.0436;0.0568;100;0.02;0.066666667;n-BuOH;6600;;;;;;1;0.65;;1;P;0
j113;jp113;750;0.02;0.0436;0.0568;50;0.02;0.066666667;n-BuOH;3300;;;;;;1;0.95;;1;P;0
j114;jp114;300;0.05;0.109;0.142;50;0.02;0.066666667;EtOH;1500;;;;;;1;0.75;;1;P;0
j115;jp115;680;0.05;0.109;0.142;150;0.02;0.088235294;EtOH;4435;;;;;;1;0.28;;1;P;0
j116;jp116;300;0.05;0.109;0.142;50;0.02;0.066666667;n-BuOH;3300;;;;;;0;0.21;;0;P;0
j117;jp117;300;0.05;0.109;0.142;50;0.02;0.066666667;n-BuOH;3300;;;;;;1;0.26;;1;P;0
j118;jp118;300;0.05;0.109;0.142;50;0.02;0.066666667;n-BuOH;3200;;;;;;0;0.267;;0;P;20
j119;jp119;562;0.05;0.109;0.142;152;0.02;0.108185053;CyPol;2842;;;;;;1;0.3671;L-SYNTH 2.0-9431;1;P;20
j120;jp120;150;0.05;0.109;0.142;81;0.02;0.216;CyPol;1967;;;;;;0;0;L-SYNTH 2.0-2440;0;P;20
j121;jp121;696;0.05;0.109;0.142;153;0.02;0.087931034;CyPol;4776;;;;;;1;0.6;L-SYNTH 2.0-7762;1;P;20
j122;jp122;340;0.05;0.109;0.142;338;0.02;0.397647059;CyPol;3869;;;;;;0;0;L-SYNTH 2.0-8626;0;P;20
344;240916;1500;0.01;0.0213;0.0284;150;0.025;0.25;Tol;0;;0.099;1;3;NPL;1;0.3272;;1;S;-
345;240916;1500;0.01;0.0213;0.0284;150;0.025;0.25;Tol;0;;0.099;1;3;NPL;1;0.3272;;1;P;-
346;240916;1500;0.01;0.0213;0.0284;150;0.045;0.45;Tol;0;;0.099;1;3;NPL;1;0.4061;;1;S;-
347;240916;1500;0.01;0.0213;0.0284;150;0.045;0.45;Tol;0;;0.099;1;3;NPL;1;0.3744;;1;P;-
348;240919;2590;0.01;0.0213;0.0284;403;0.02;0.31;CyPen;5000;;0.269;1;;;1;0.2984;L-SYNTH 2.0-9622;1;S;-
349;240919;2590;0.01;0.0213;0.0284;403;0.02;0.31;CyPen;5000;;0.269;1;;;1;0.263;L-SYNTH 2.0-9622;1;P;-
350;240919;2425;0.01;0.0213;0.0284;25;0.02;0.02;CyPen;4900;;0.269;0;-;;0;;L-SYNTH 2.0-1110;;-;-
351;240919;2415;0.01;0.0213;0.0284;100;0.02;0.08;CyPen;4710;;0.269;1;;;1;0.4292;L-SYNTH 2.0-7025;1;S;-
352;240919;2415;0.01;0.0213;0.0284;100;0.02;0.08;CyPen;4710;;0.269;1;;;1;0.4292;L-SYNTH 2.0-7025;1;P;-
353;240920;678;0.01;0.0213;0.0284;152.5;0.02;0.45;CyPen;1975;;0.269;1;;;1;0.4099;L-SYNTH 2.0-6389;1;S;-
354;240920;678;0.01;0.0213;0.0284;152.5;0.02;0.45;CyPen;1975;;0.269;1;;;1;0.2626;L-SYNTH 2.0-6389;1;P;-
355;240920;1655;0.01;0.0213;0.0284;38;0.02;0.05;CyPen;4950;;0.269;0;-;;0;;L-SYNTH 2.0-9245;;-;-
356;240920;1475;0.01;0.0213;0.0284;100;0.02;0.14;CyPen;4320;;0.269;1;;;1;0.4701;L-SYNTH 2.0-3694;1;S;-
357;240920;1475;0.01;0.0213;0.0284;100;0.02;0.14;CyPen;4320;;0.269;1;;;1;0.3623;L-SYNTH 2.0-3694;1;P;-
358;240924;1500;0.01;0.0213;0.0284;75;0.02;0.1;Tol;0;;0.099;1;2;NPL;1;0.0391;;1;P;-
359;240924;1500;0.01;0.0213;0.0284;37.5;0.02;0.05;Tol;0;;0.099;1;-;-;0;;;;P;-
360;240924;1500;0.01;0.0213;0.0284;75;0.04;0.2;Tol;0;;0.099;;;;1;;;;P;-
414;230823;3000;0.01;0.0218;0.0284;150;0.02;0.1;EtOH;500;;;;2;;1;;;;P;-
415;230823;3000;0.01;0.0218;0.0284;150;0.02;0.1;EtOH;1000;;;;2;;1;;;;P;-
416;240509;1000;0.005;0.01064;0.014175;100;0.02;0.4;CyPen;1250;;;;4;;1;0.4038;;1;P;-
j168;jp168;2466;0.01;0.0218;0.0284;200;0.02;0.162206002;MeOH;500;;;;;;1;0;;0;P;-
j169;jp169;2466;0.01;0.0218;0.0284;20;0.2;0.162206002;MeOH;500;;;;;;1;0;;0;P;-
j170;jp170;2466;0.01;0.0218;0.0284;200;0.04;0.324412003;MeOH;500;;;;;;1;0;;0;P;-
j171;jp171;2466;0.01;0.0218;0.0284;200;0.065;0.527169505;MeOH;500;;;;;;1;0;;0;P;-
