;Unnamed: 0;Sample No.;V (PbBr2 prec.);c (PbBr2);V (Cs-OA);c (Cs-OA);antisolvent;V (antisolvent);perovskite ?;monodispersity;PLQY;S/P;n_Cs;n_Pb;n_As;Cs_Pb_ratio;AS_Pb_ratio;AS_Cs_ratio;V_total;PL_data;molecule_name;encoding;fwhm;peak_pos;baseline;artificial
35;73;75;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.08849557522123894;EtOH;0.4;1.0;1.0;0.0;P;3.6;15.0;34260.0;0.24;0.2284;0.0555555555555555;0.28661346521299313;75.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1213098109810979;473.0;False;False
36;74;76;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.09734513274336282;EtOH;0.4;1.0;1.0;0.0;P;3.9;15.0;34260.0;0.26;0.2284;0.0512820512820512;0.28661346521299313;76.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1216198019801981;477.0;False;False
37;75;77;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.10619469026548672;EtOH;0.4;1.0;1.0;0.0;P;4.2;15.0;34260.0;0.28;0.2284;0.0476190476190476;0.28661346521299313;77.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1253396939693969;477.0;False;False
38;76;78;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.1150442477876106;EtOH;0.4;1.0;1.0;0.0;P;4.5;15.0;34260.0;0.3;0.2284;0.0444444444444444;0.28661346521299313;78.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1343294329432942;479.0;False;False
39;77;79;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.15929203539823011;EtOH;0.4;1.0;0.0;0.0;P;6.0;15.0;34260.0;0.4;0.2284;0.0333333333333333;0.28661346521299313;79.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.2684522052205222;493.0;False;False
40;78;80;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.4247787610619469;EtOH;0.4;1.0;1.0;0.0;P;15.0;15.0;34260.0;1.0;0.2284;0.0133333333333333;0.28661346521299313;80.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.129472907290729;514.0;False;False
41;79;81;0.2806652806652807;0.1919191919191919;0.23076923076923078;0.07079646017699115;EtOH;0.4;1.0;1.0;0.0;P;3.0;30.0;34260.0;0.1;0.1142;0.0666666666666666;0.28661346521299313;81.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.0969238523852387;472.0;False;False
42;80;82;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;EtOH;0.4;1.0;1.0;0.0;P;3.0;15.0;34260.0;0.2;0.2284;0.0666666666666666;0.28661346521299313;82.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.0975438343834382;485.0;False;False
43;81;83;0.2806652806652807;0.0808080808080808;0.23076923076923078;0.07079646017699115;EtOH;0.4;1.0;1.0;0.0;P;3.0;13.499999999999998;34260.0;0.2222222222222222;0.2537777777777778;0.0666666666666666;0.28661346521299313;83.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1197598559855985;486.0;False;False
44;82;84;0.2806652806652807;0.0707070707070707;0.23076923076923078;0.07079646017699115;EtOH;0.4;1.0;0.0;0.0;P;3.0;12.0;34260.0;0.25;0.2855;0.0666666666666666;0.28661346521299313;84.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1935377137713771;499.0;False;False
45;83;85;0.2806652806652807;0.05656565656565656;0.23076923076923078;0.07079646017699115;EtOH;0.4;1.0;1.0;0.0;P;3.0;9.9;34260.0;0.303030303030303;0.346060606060606;0.0666666666666666;0.28661346521299313;85.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1280262826282627;508.0;False;False
