;Sample No.;V (PbBr2 prec.);c (PbBr2);V (Cs-OA);c (Cs-OA);antisolvent;V (antisolvent);perovskite ?;monodispersity;PLQY;S/P;n_Cs;n_Pb;n_As;Cs_Pb_ratio;AS_Pb_ratio;AS_Cs_ratio;V_total;PL_data;molecule_name;baseline;artificial;encoding;fwhm;peak_pos;NPL_type;poly_peak_pos;peak_pos_eV
25;65;0.28794178794178793;0.09090909090909091;0.1737649063032368;0.07488986784140969;EtOH;0.4;1.0;1.0;0.0;P;2.3000000000000003;15.35;6.852;0.1498371335504886;0.22319218241042346;0.08695652173913042;0.28661346521299313;65.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.14610909090909097;471.0;4.0;;
26;66;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;EtOH;0.4;1.0;1.0;0.0;P;3.0;15.0;6.852;0.2;0.2284;0.06666666666666667;0.28661346521299313;66.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.13174617461746152;475.00000000000006;4.0;;
27;67;0.2733887733887734;0.09090909090909091;0.293015332197615;0.07488986784140969;EtOH;0.4;1.0;1.0;0.0;P;3.7;14.65;6.852;0.2525597269624573;0.23385665529010238;0.05405405405405406;0.28661346521299313;67.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.1275096309630963;477.0;4.0;;
28;68;0.26715176715176714;0.09090909090909091;0.3441226575809199;0.07488986784140969;EtOH;0.4;1.0;1.0;0.0;P;4.3;14.35;6.852;0.29965156794425085;0.23874564459930311;0.046511627906976744;0.28661346521299313;68.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.166878487848785;475.00000000000006;4.0;;
29;69;0.2588357588357588;0.09090909090909091;0.39522998296422485;0.07488986784140969;EtOH;0.4;1.0;0.0;0.0;P;4.9;13.950000000000001;6.852;0.35125448028673834;0.24559139784946235;0.04081632653061224;0.28548949083960884;69.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.21089720972097226;494.00000000000006;6.0;;
30;70;0.2525987525987526;0.09090909090909091;0.43781942078364566;0.07488986784140969;EtOH;0.4;1.0;0.0;0.0;P;5.4;13.65;6.852;0.39560439560439564;0.250989010989011;0.037037037037037035;0.2849275036529167;70.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.20325076507650763;499.0;7.0;;
31;71;0.2806652806652807;0.09090909090909091;1.0;0.008810572687224669;EtOH;0.4;1.0;1.0;0.0;P;3.0;15.0;6.852;0.2;0.2284;0.06666666666666667;0.33719231201528604;71.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.13784266426642677;464.0;3.0;;
32;72;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.030837004405286344;EtOH;0.4;1.0;1.0;0.0;P;1.5;15.0;6.852;0.1;0.2284;0.13333333333333333;0.28661346521299313;72.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.13577605760576006;467.0;0.0;;
33;73;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;EtOH;0.4;1.0;1.0;0.0;P;3.0;15.0;6.852;0.2;0.2284;0.06666666666666667;0.28661346521299313;73.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.13019621962196215;470.00000000000006;0.0;;
34;74;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.08370044052863436;EtOH;0.4;1.0;1.0;0.0;P;3.3;15.0;6.852;0.22;0.2284;0.06060606060606061;0.28661346521299313;74.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.1339161116111609;471.0;4.0;;
35;75;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.09251101321585903;EtOH;0.4;1.0;1.0;0.0;P;3.6;15.0;6.852;0.24000000000000002;0.2284;0.05555555555555555;0.28661346521299313;75.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.12130981098109794;473.0;4.0;;
36;76;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.1013215859030837;EtOH;0.4;1.0;1.0;0.0;P;3.9;15.0;6.852;0.26;0.2284;0.05128205128205128;0.28661346521299313;76.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.12161980198019817;477.0;4.0;;
37;77;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.11013215859030838;EtOH;0.4;1.0;1.0;0.0;P;4.2;15.0;6.852;0.28;0.2284;0.047619047619047616;0.28661346521299313;77.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.12533969396939693;477.0;4.0;;
38;78;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.11894273127753303;EtOH;0.4;1.0;1.0;0.0;P;4.5;15.0;6.852;0.3;0.2284;0.044444444444444446;0.28661346521299313;78.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.13432943294329425;479.0;0.0;;
39;79;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.16299559471365638;EtOH;0.4;1.0;0.0;0.0;P;6.0;15.0;6.852;0.4;0.2284;0.03333333333333333;0.28661346521299313;79.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.26845220522052227;493.0;6.0;;
40;80;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.42731277533039647;EtOH;0.4;1.0;1.0;0.0;P;15.0;15.0;6.852;1.0;0.2284;0.013333333333333334;0.28661346521299313;80.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.12947290729072902;514.0;9.0;;
41;81;0.2806652806652807;0.1919191919191919;0.23339011925042588;0.07488986784140969;EtOH;0.4;1.0;1.0;0.0;P;3.0;30.0;6.852;0.1;0.1142;0.06666666666666667;0.28661346521299313;81.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.0969238523852387;471.99999999999994;4.0;;
42;82;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;EtOH;0.4;1.0;1.0;0.0;P;3.0;15.0;6.852;0.2;0.2284;0.06666666666666667;0.28661346521299313;82.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.09754383438343828;484.99999999999994;5.0;;
43;83;0.2806652806652807;0.0808080808080808;0.23339011925042588;0.07488986784140969;EtOH;0.4;1.0;1.0;0.0;P;3.0;13.499999999999998;6.852;0.22222222222222224;0.2537777777777778;0.06666666666666667;0.28661346521299313;83.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.11975985598559857;485.99999999999994;5.0;;
44;84;0.2806652806652807;0.0707070707070707;0.23339011925042588;0.07488986784140969;EtOH;0.4;1.0;0.0;0.0;P;3.0;12.0;6.852;0.25;0.2855;0.06666666666666667;0.28661346521299313;84.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.19353771377137718;499.0;7.0;;
45;85;0.2806652806652807;0.05656565656565656;0.23339011925042588;0.07488986784140969;EtOH;0.4;1.0;1.0;0.0;P;3.0;9.9;6.852;0.30303030303030304;0.34606060606060607;0.06666666666666667;0.28661346521299313;85.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.12802628262826277;507.99999999999994;8.0;;
