;Sample No.;V (PbBr2 prec.);c (PbBr2);V (Cs-OA);c (Cs-OA);antisolvent;V (antisolvent);perovskite ?;monodispersity;PLQY;S/P;n_Cs;n_Pb;n_As;Cs_Pb_ratio;AS_Pb_ratio;AS_Cs_ratio;V_total;PL_data;molecule_name;encoding;fwhm;peak_pos
71;73;1500;0.01;150.0;0.02;EtOH;2000;1.0;1.0;0.0;P;3.0;15.0;34260.0;0.2;0.2284;0.06666666666666667;3650.0;73.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.13019621962196215;470.00000000000006
72;74;1500;0.01;150.0;0.022;EtOH;2000;1.0;1.0;0.0;P;3.3;15.0;34260.0;0.22;0.2284;0.06060606060606061;3650.0;74.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1339161116111609;471.0
73;75;1500;0.01;150.0;0.024;EtOH;2000;1.0;1.0;0.0;P;3.6;15.0;34260.0;0.24000000000000002;0.2284;0.05555555555555555;3650.0;75.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.12130981098109794;473.0
74;76;1500;0.01;150.0;0.026;EtOH;2000;1.0;1.0;0.0;P;3.9;15.0;34260.0;0.26;0.2284;0.05128205128205128;3650.0;76.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.12161980198019817;477.0
75;77;1500;0.01;150.0;0.028;EtOH;2000;1.0;1.0;0.0;P;4.2;15.0;34260.0;0.28;0.2284;0.047619047619047616;3650.0;77.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.12533969396939693;477.0
76;78;1500;0.01;150.0;0.03;EtOH;2000;1.0;1.0;0.0;P;4.5;15.0;34260.0;0.3;0.2284;0.044444444444444446;3650.0;78.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.13432943294329425;479.0
77;79;1500;0.01;150.0;0.04;EtOH;2000;1.0;0.0;0.0;P;6.0;15.0;34260.0;0.4;0.2284;0.03333333333333333;3650.0;79.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.26845220522052227;493.0
78;80;1500;0.01;150.0;0.1;EtOH;2000;1.0;1.0;0.0;P;15.0;15.0;34260.0;1.0;0.2284;0.013333333333333334;3650.0;80.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.12947290729072902;514.0
79;81;1500;0.02;150.0;0.02;EtOH;2000;1.0;1.0;0.0;P;3.0;30.0;34260.0;0.1;0.1142;0.06666666666666667;3650.0;81.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.0969238523852387;471.99999999999994
80;82;1500;0.01;150.0;0.02;EtOH;2000;1.0;1.0;0.0;P;3.0;15.0;34260.0;0.2;0.2284;0.06666666666666667;3650.0;82.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.09754383438343828;484.99999999999994
