Sample No.;V (PbBr2 prec.);c (PbBr2);V (Cs-OA);c (Cs-OA);antisolvent;V (antisolvent);perovskite ?;monodispersity;PLQY;S/P
129;1500;0.01;75.0;0.04;Tol;0;1.0;1.0;0.0;P
130;1500;0.01;75.0;0.1;Ac;1000;1.0;1.0;0.0;P
131;1500;0.01;75.0;0.1;Tol;0;1.0;0.0;0.0;P
132;1500;0.01;75.0;0.2;Ac;1000;1.0;1.0;0.0;P
134;1500;0.01;75.0;0.02;Ac;500;1.0;1.0;0.0;P
135;1000;0.01;150.0;0.02;Ac;1850;1.0;1.0;0.0;P
136;960;0.01;190.0;0.02;Ac;1850;1.0;1.0;0.0;P
137;940;0.01;210.0;0.02;Ac;1850;1.0;1.0;0.0;P
138;920;0.01;230.0;0.02;Ac;1850;1.0;1.0;0.0;P
139;900;0.01;250.0;0.02;Ac;1850;1.0;1.0;0.0;P
140;880;0.01;270.0;0.02;Ac;1850;1.0;1.0;0.0;P
142;3505;0.074;847.0;0.014;butanone;1030;1.0;1.0;0.0257;P
143;2300;0.026;557.0;0.018;EtAc;1550;1.0;1.0;0.0357;P
144;3155;0.068;109.0;0.017;t-BuOH;840;;0.0;0.0;P
145;3370;0.032;497.0;0.003;CyPen;2125;;0.0;0.0;P
146;3930;0.071;743.0;0.018;DMF;1645;0.0;0.0;0.0;P
147;1245;0.063;481.0;0.004;CyPen;1030;1.0;0.0;0.194;P
148;4320;0.061;834.0;0.003;DMF;2980;0.0;0.0;0.0;P
149;3965;0.01;464.0;0.0156;MeAc;1990;1.0;1.0;0.0344;P
150;2205;0.01;473.0;0.0164;MeAc;1445;1.0;0.0;0.0722;P
151;1615;0.01;373.0;0.0159;n-PrOH;1585;1.0;1.0;0.0385;P
152;530;0.01;312.0;0.0138;EtAc;4050;1.0;0.0;0.313;P
153;1380;0.01;385.0;0.0146;n-PrOH;1850;1.0;0.0;0.1079;P
154;1330;0.01;26.0;0.0107;i-PrOH;3800;1.0;1.0;0.104;P
155;1270;0.01;448.0;0.0113;n-PrOH;1965;1.0;0.0;0.1288;P
157;657;0.01;166.0;0.0167;n-PrOH;1095;1.0;0.0;0.2111;P
158;534;0.01;13.0;0.0115;MeOH;3855;0.0;0.0;0.0;P
159;1880;0.01;490.0;0.0152;n-PrOH;4055;1.0;0.0;0.4171;P
160;1045;0.01;499.0;0.0177;MeOH;724;1.0;1.0;0.0254;P
161;799;0.01;259.0;0.0106;n-PrOH;2125;1.0;0.0;0.4593;P
162;550;0.01;294.0;0.0157;EtOH;4725;0.0;0.0;0.0;P
163;3000;0.01;150.0;0.02;DMF;2000;0.0;0.0;0.0;-
164;3000;0.01;150.0;0.02;DMF;2750;0.0;0.0;0.0;-
165;1500;0.01;150.0;0.02;DMF;1500;0.0;0.0;0.0;-
166;1500;0.01;150.0;0.02;DMF;2000;0.0;0.0;0.0;-
167;3000;0.01;150.0;0.02;DMSO;1750;0.0;0.0;0.0;-
168;3000;0.01;150.0;0.02;DMSO;2000;0.0;0.0;0.0;-
169;1500;0.01;150.0;0.02;DMSO;1000;0.0;0.0;0.0;-
170;1500;0.01;150.0;0.02;DMSO;2000;0.0;0.0;0.0;-
171;3000;0.01;150.0;0.02;ACN;1250;0.0;0.0;0.0;-
172;3000;0.01;150.0;0.02;ACN;2000;0.0;0.0;0.0;-
173;1500;0.01;150.0;0.02;ACN;750;0.0;0.0;0.0;-
174;1500;0.01;150.0;0.02;ACN;2000;0.0;0.0;0.0;-
175;2160;0.01;402.0;0.0178;MeAc;1125;1.0;0.0;0.0;P
176;2205;0.01;438.0;0.0183;EtAc;1920;1.0;0.0;0.0;P
177;625;0.01;174.0;0.0119;EtAc;860;1.0;0.0;0.0;P
178;4035;0.01;147.0;0.23;MeOH;845;1.0;1.0;0.0676;P
179;675;0.01;197.0;0.0132;n-BuOH;1120;1.0;1.0;0.2232;P
180;695;0.01;249.0;0.0173;i-PrOH;1155;1.0;0.0;0.6324;P
181;1395;0.01;425.0;0.0134;n-BuOH;2900;1.0;0.0;0.2597;P
182;695;0.01;221.0;0.0127;n-BuOH;3845;1.0;1.0;0.3467;P
183;1705;0.01;369.0;0.0185;n-BuOH;3950;1.0;0.0;0.2465;P
